operation,data_type,thread,iteration,vec_length,buffer_size,latency,correct
MATVEC,uint32_t,1,8192,256,256,962.350333,True
MATVEC,uint32_t,1,8192,512,8,2363.036667,True
MATVEC,uint32_t,1,8192,512,16,2130.861333,True
MATVEC,uint32_t,1,8192,512,32,2029.453667,True
MATVEC,uint32_t,1,8192,512,64,1962.679667,True
MATVEC,uint32_t,1,8192,512,128,1932.545,True
MATVEC,uint32_t,1,8192,512,256,1920.127,True
MATVEC,uint32_t,1,8192,1024,8,4719.044,True
MATVEC,uint32_t,1,8192,1024,16,4255.605,True
MATVEC,uint32_t,1,8192,1024,32,4050.894,True
MATVEC,uint32_t,1,8192,1024,64,3917.754667,True
MATVEC,uint32_t,1,8192,1024,128,3858.602333,True
MATVEC,uint32_t,1,8192,1024,256,3832.408,True
MATVEC,uint32_t,1,8192,2048,8,NA,False
MATVEC,uint32_t,1,8192,2048,16,NA,False
MATVEC,uint32_t,1,8192,2048,32,NA,False
MATVEC,uint32_t,1,8192,2048,64,NA,False
MATVEC,uint32_t,1,8192,2048,128,NA,False
MATVEC,uint32_t,1,8192,2048,256,NA,False
MATVEC,uint32_t,1,8192,4096,8,NA,False
MATVEC,uint32_t,1,8192,4096,16,NA,False
MATVEC,uint32_t,1,8192,4096,32,NA,False
MATVEC,uint32_t,1,8192,4096,64,NA,False
MATVEC,uint32_t,1,8192,4096,128,NA,False
MATVEC,uint32_t,1,8192,4096,256,NA,False
MATVEC,uint32_t,1,8192,8192,8,NA,False
MATVEC,uint32_t,1,8192,8192,16,NA,False
MATVEC,uint32_t,1,8192,8192,32,NA,False
MATVEC,uint32_t,1,8192,8192,64,NA,False
MATVEC,uint32_t,1,8192,8192,128,NA,False
MATVEC,uint32_t,1,8192,8192,256,NA,False
MATVEC,uint32_t,2,16,16,8,0.225333,True
