operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint32_t,16,16384,16,109.606333,True
ADD,uint64_t,1,1024,32,12.033333,True
ADD,uint64_t,1,512,256,44.889333,True
ADD,uint64_t,1,2048,8,7.049333,True
ADD,uint64_t,1,1024,64,22.949667,True
ADD,uint64_t,1,2048,16,12.530333,True
ADD,uint64_t,1,1024,128,45.102,True
ADD,uint64_t,1,2048,32,24.029667,True
ADD,uint64_t,1,4096,8,14.043333,True
ADD,uint64_t,1,2048,64,45.821667,True
ADD,uint64_t,1,1024,256,89.698667,True
ADD,uint64_t,1,4096,16,25.010667,True
ADD,uint32_t,16,32768,8,166.794,True
ADD,uint64_t,1,4096,32,47.973667,True
ADD,uint64_t,1,2048,128,90.169,True
ADD,uint64_t,1,8192,8,28.051667,True
ADD,uint64_t,1,4096,64,91.62,True
ADD,uint64_t,1,8192,16,49.981667,True
ADD,uint64_t,1,2048,256,179.379333,True
ADD,uint64_t,1,8192,32,95.931,True
ADD,uint64_t,1,16384,8,55.955,True
ADD,uint64_t,1,4096,128,180.267667,True
ADD,uint64_t,1,8192,64,183.149,True
ADD,uint64_t,1,16384,16,99.900667,True
ADD,uint64_t,1,16384,32,191.706667,True
ADD,uint64_t,1,4096,256,358.597667,True
ADD,uint64_t,1,32768,8,112.028,True
ADD,uint64_t,1,16384,256,NA,False
ADD,uint64_t,1,8192,128,360.397667,True
ADD,uint64_t,1,32768,256,NA,False
ADD,uint64_t,1,16384,64,366.18,True
ADD,uint64_t,1,32768,16,199.766333,True
ADD,uint64_t,2,256,8,1.048667,True
ADD,uint64_t,2,256,16,1.619,True
ADD,uint64_t,1,32768,128,NA,False
ADD,uint64_t,2,256,32,3.05,True
ADD,uint64_t,2,256,64,5.789,True
ADD,uint64_t,2,256,128,11.333,True
ADD,uint64_t,2,512,8,1.810667,True
ADD,uint64_t,2,512,16,3.177333,True
ADD,uint64_t,2,256,256,22.493333,True
ADD,uint64_t,2,512,32,6.05,True
ADD,uint64_t,2,512,64,11.507333,True
ADD,uint64_t,2,512,128,22.581667,True
ADD,uint64_t,2,1024,8,3.553,True
ADD,uint64_t,2,1024,16,6.303667,True
ADD,uint64_t,2,512,256,44.887333,True
ADD,uint64_t,1,32768,32,383.475,True
ADD,uint64_t,2,1024,32,12.072,True
ADD,uint64_t,2,1024,64,22.955333,True
ADD,uint64_t,2,2048,8,7.066333,True
ADD,uint64_t,1,8192,256,717.180333,True
ADD,uint64_t,2,2048,16,12.545667,True
ADD,uint64_t,2,1024,128,45.118333,True
ADD,uint64_t,2,2048,32,24.042,True
ADD,uint64_t,2,4096,8,14.069333,True
ADD,uint64_t,2,2048,64,45.838,True
ADD,uint64_t,1,16384,128,720.685333,True
ADD,uint64_t,2,1024,256,89.733667,True
ADD,uint64_t,2,4096,16,25.026333,True
ADD,uint64_t,2,2048,128,90.17,True
ADD,uint64_t,2,4096,32,47.987,True
ADD,uint64_t,2,8192,8,28.038,True
ADD,uint64_t,2,4096,64,91.623333,True
ADD,uint64_t,2,8192,16,49.993667,True
ADD,uint64_t,2,2048,256,179.408333,True
ADD,uint64_t,1,32768,64,732.356333,True
ADD,uint64_t,2,8192,32,95.900333,True
ADD,uint64_t,2,4096,128,180.279667,True
ADD,uint64_t,2,16384,8,56.077333,True
ADD,uint64_t,2,8192,256,NA,False
ADD,uint64_t,2,8192,64,183.221667,True
ADD,uint64_t,2,16384,16,99.910333,True
ADD,uint64_t,2,16384,256,NA,False
ADD,uint64_t,2,16384,128,NA,False
ADD,uint64_t,2,16384,32,191.93,True
ADD,uint64_t,2,4096,256,358.678,True
ADD,uint64_t,2,32768,8,112.028333,True
ADD,uint64_t,4,256,8,0.951,True
ADD,uint64_t,2,32768,256,NA,False
ADD,uint64_t,2,32768,64,NA,False
ADD,uint64_t,4,256,16,1.618333,True
ADD,uint64_t,4,256,32,3.063,True
ADD,uint64_t,2,32768,128,NA,False
ADD,uint64_t,4,256,64,5.793,True
ADD,uint64_t,4,256,128,11.332,True
ADD,uint64_t,2,8192,128,360.454,True
ADD,uint64_t,4,512,8,1.839667,True
ADD,uint64_t,2,32768,16,199.786667,True
ADD,uint64_t,4,256,256,22.513,True
ADD,uint64_t,4,512,16,3.214,True
ADD,uint64_t,4,512,32,6.073,True
ADD,uint64_t,4,1024,8,3.608667,True
ADD,uint64_t,4,512,64,11.509667,True
ADD,uint64_t,4,1024,16,6.311333,True
ADD,uint64_t,4,512,128,22.603667,True
ADD,uint64_t,4,1024,32,12.055667,True
ADD,uint64_t,4,2048,8,7.143667,True
ADD,uint64_t,4,512,256,44.934667,True
ADD,uint64_t,4,1024,64,22.98,True
ADD,uint64_t,2,16384,64,366.282333,True
ADD,uint64_t,4,2048,16,12.55,True
ADD,uint64_t,4,1024,128,45.133667,True
ADD,uint64_t,4,2048,32,24.058667,True
ADD,uint64_t,4,4096,8,14.185667,True
