data_type,thread,iteration,buffer_size,latency,correct
uint64_t,1,512,64,147.235,True
uint64_t,1,1024,16,74.034667,True
uint64_t,1,1024,32,147.477,True
uint64_t,1,2048,8,74.486333,True
uint32_t,16,8192,64,628.758667,True
uint64_t,1,512,128,294.153,True
uint64_t,1,2048,16,148.007,True
uint64_t,1,1024,64,294.431,True
uint32_t,16,16384,32,632.841333,True
uint64_t,1,4096,8,148.834333,True
uint64_t,1,2048,32,294.876,True
uint64_t,1,1024,128,588.102333,True
uint64_t,1,4096,16,295.878,True
uint64_t,1,2048,64,588.624333,True
uint64_t,1,8192,8,297.613333,True
uint64_t,1,4096,32,589.652667,True
uint64_t,1,8192,16,591.596,True
uint64_t,1,2048,128,1176.288667,True
uint64_t,1,4096,64,1177.212333,True
uint64_t,1,16384,8,594.944,True
uint64_t,1,8192,32,1178.916,True
uint64_t,2,128,8,4.755,True
uint64_t,2,128,16,9.344,True
uint64_t,2,128,32,18.535667,True
uint64_t,2,128,64,36.897333,True
uint64_t,2,128,128,73.63,True
uint64_t,2,256,8,9.396,True
uint64_t,2,256,16,18.587667,True
uint64_t,1,16384,16,1182.969333,True
uint64_t,2,256,32,36.951667,True
uint64_t,2,256,64,73.678667,True
uint64_t,2,512,8,18.708333,True
uint64_t,2,256,128,147.158,True
uint64_t,2,512,16,37.094667,True
uint64_t,1,4096,128,2351.991667,True
uint64_t,2,512,32,73.789333,True
uint64_t,2,1024,8,37.294333,True
uint64_t,2,512,64,147.263,True
uint64_t,2,1024,16,74.053333,True
uint64_t,2,512,128,294.137667,True
uint64_t,2,1024,32,147.478,True
uint64_t,1,8192,64,2354.452333,True
uint64_t,2,2048,8,74.489667,True
uint64_t,2,1024,64,294.411,True
uint64_t,2,2048,16,147.995667,True
uint64_t,2,2048,32,294.831,True
uint64_t,2,1024,128,588.151667,True
uint64_t,1,16384,32,2357.625333,True
uint64_t,2,4096,8,148.861667,True
uint64_t,2,2048,64,588.617333,True
uint64_t,2,4096,16,295.836,True
uint64_t,2,4096,32,589.631667,True
uint64_t,2,8192,8,297.582667,True
uint64_t,2,2048,128,1176.335333,True
uint64_t,2,8192,16,591.63,True
uint64_t,2,4096,64,1177.079,True
uint64_t,1,8192,128,4704.919,True
uint64_t,2,8192,32,1179.185333,True
uint64_t,2,16384,8,595.168333,True
uint64_t,1,16384,64,4708.203667,True
uint64_t,2,4096,128,2352.291,True
uint64_t,4,128,8,4.758333,True
uint64_t,4,128,16,9.348,True
uint64_t,4,128,32,18.536,True
uint64_t,4,128,64,36.904667,True
uint64_t,2,16384,16,1183.185,True
uint64_t,4,256,8,9.418333,True
uint64_t,4,128,128,73.647333,True
uint64_t,4,256,16,18.594,True
