operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,512,512,16,133.354333,133.052800,-0.23
MATVEC,uint32_t,1,512,512,32,127.021333,125.881531,-0.90
MATVEC,uint32_t,1,512,512,64,122.796333,122.429350,-0.30
MATVEC,uint32_t,1,512,512,128,120.885667,120.699774,-0.15
MATVEC,uint32_t,1,512,512,256,120.170000,119.926033,-0.20
MATVEC,uint32_t,1,512,1024,8,295.275000,290.852662,-1.50
MATVEC,uint32_t,1,512,1024,16,266.180667,265.641490,-0.20
MATVEC,uint32_t,1,512,1024,32,253.407667,251.303392,-0.83
MATVEC,uint32_t,1,512,1024,64,245.026000,244.401209,-0.25
MATVEC,uint32_t,1,512,1024,128,241.264667,240.943121,-0.13
MATVEC,uint32_t,1,512,1024,256,239.690667,239.394379,-0.12
MATVEC,uint32_t,1,512,2048,8,590.076333,581.233316,-1.50
MATVEC,uint32_t,1,512,2048,16,531.634333,530.818870,-0.15
MATVEC,uint32_t,1,512,2048,32,506.221667,502.147113,-0.80
MATVEC,uint32_t,1,512,2048,64,489.596667,488.344925,-0.26
MATVEC,uint32_t,1,512,2048,128,481.979000,481.429813,-0.11
MATVEC,uint32_t,1,512,2048,256,478.806667,478.332784,-0.10
MATVEC,uint32_t,1,512,4096,8,1179.483667,1161.994624,-1.48
MATVEC,uint32_t,1,512,4096,16,1062.864000,1061.173632,-0.16
MATVEC,uint32_t,1,512,4096,32,1012.299667,1003.834555,-0.84
MATVEC,uint32_t,1,512,4096,64,978.551667,976.232358,-0.24
MATVEC,uint32_t,1,512,4096,128,963.410667,962.403198,-0.10
MATVEC,uint32_t,1,512,4096,256,957.246000,956.209593,-0.11
MATVEC,uint32_t,1,512,8192,8,2358.183000,2323.517238,-1.47
MATVEC,uint32_t,1,512,8192,16,2125.280667,2121.883154,-0.16
MATVEC,uint32_t,1,512,8192,32,2023.115000,2007.209440,-0.79
MATVEC,uint32_t,1,512,8192,64,1956.749000,1952.007225,-0.24
MATVEC,uint32_t,1,512,8192,128,1926.531333,1924.349969,-0.11
MATVEC,uint32_t,1,512,8192,256,1913.557000,1911.963211,-0.08
MATVEC,uint32_t,1,1024,16,8,10.051667,9.952405,-0.99
MATVEC,uint32_t,1,1024,16,16,9.176333,9.149001,-0.30
MATVEC,uint32_t,1,1024,32,8,19.316667,19.026800,-1.50
MATVEC,uint32_t,1,1024,32,16,17.465333,17.435794,-0.17
MATVEC,uint32_t,1,1024,32,32,16.602333,16.531062,-0.43
MATVEC,uint32_t,1,1024,64,8,37.770667,37.175591,-1.58
MATVEC,uint32_t,1,1024,64,16,34.089000,34.009380,-0.23
MATVEC,uint32_t,1,1024,64,32,32.300667,32.208795,-0.28
MATVEC,uint32_t,1,1024,64,64,31.436667,31.341938,-0.30
MATVEC,uint32_t,1,1024,128,8,74.581667,73.473173,-1.49
MATVEC,uint32_t,1,1024,128,16,67.305667,67.156553,-0.22
MATVEC,uint32_t,1,1024,128,32,64.112333,63.564260,-0.85
MATVEC,uint32_t,1,1024,128,64,62.106333,61.834902,-0.44
MATVEC,uint32_t,1,1024,128,128,61.087000,60.968518,-0.19
MATVEC,uint32_t,1,1024,256,8,148.234667,146.068336,-1.46
MATVEC,uint32_t,1,1024,256,16,133.733667,133.450898,-0.21
MATVEC,uint32_t,1,1024,256,32,127.908667,126.275190,-1.28
MATVEC,uint32_t,1,1024,256,64,123.151333,122.820832,-0.27
MATVEC,uint32_t,1,1024,256,128,121.304667,121.091942,-0.18
MATVEC,uint32_t,1,1024,256,256,120.391667,120.315140,-0.06
MATVEC,uint32_t,1,1024,512,8,295.498667,291.258663,-1.43
MATVEC,uint32_t,1,1024,512,16,266.504000,266.039588,-0.17
MATVEC,uint32_t,1,1024,512,32,253.897000,251.697051,-0.87
MATVEC,uint32_t,1,1024,512,64,245.448333,244.792690,-0.27
MATVEC,uint32_t,1,1024,512,128,241.691333,241.333538,-0.15
MATVEC,uint32_t,1,1024,512,256,240.188333,239.786911,-0.17
MATVEC,uint32_t,1,1024,1024,8,590.348667,581.639317,-1.48
MATVEC,uint32_t,1,1024,1024,16,532.211333,531.216969,-0.19
MATVEC,uint32_t,1,1024,1024,32,506.922333,502.540772,-0.86
MATVEC,uint32_t,1,1024,1024,64,489.974333,488.736406,-0.25
MATVEC,uint32_t,1,1024,1024,128,482.460333,481.820230,-0.13
MATVEC,uint32_t,1,1024,1024,256,479.211333,478.722747,-0.10
MATVEC,uint32_t,1,1024,2048,8,1179.714333,1162.400624,-1.47
MATVEC,uint32_t,1,1024,2048,16,1063.495000,1061.571730,-0.18
MATVEC,uint32_t,1,1024,2048,32,1012.761667,1004.228214,-0.84
MATVEC,uint32_t,1,1024,2048,64,979.081333,976.623840,-0.25
MATVEC,uint32_t,1,1024,2048,128,964.010000,962.793616,-0.13
MATVEC,uint32_t,1,1024,2048,256,957.594000,956.599556,-0.10
MATVEC,uint32_t,1,1024,4096,8,2358.150000,2323.923239,-1.45
MATVEC,uint32_t,1,1024,4096,16,2126.188667,2122.281252,-0.18
MATVEC,uint32_t,1,1024,4096,32,2021.647667,2007.603099,-0.69
MATVEC,uint32_t,1,1024,4096,64,1958.431333,1952.398706,-0.31
MATVEC,uint32_t,1,1024,4096,128,1925.324333,1924.740386,-0.03
MATVEC,uint32_t,1,1024,4096,256,1913.382333,1912.353174,-0.05
MATVEC,uint32_t,1,1024,8192,8,4710.534000,4646.968469,-1.35
MATVEC,uint32_t,1,1024,8192,16,4247.768667,4243.700297,-0.10
MATVEC,uint32_t,1,1024,8192,32,4052.625000,4014.352868,-0.94
MATVEC,uint32_t,1,1024,8192,64,3922.231667,3903.948438,-0.47
MATVEC,uint32_t,1,1024,8192,128,3849.058667,3848.633926,-0.01
MATVEC,uint32_t,1,1024,8192,256,3827.321000,3823.860411,-0.09
MATVEC,uint32_t,1,2048,16,8,20.068333,19.838796,-1.14
MATVEC,uint32_t,1,2048,16,16,18.344333,18.231993,-0.61
MATVEC,uint32_t,1,2048,32,8,38.632333,37.987586,-1.67
MATVEC,uint32_t,1,2048,32,16,34.926000,34.805580,-0.34
MATVEC,uint32_t,1,2048,32,32,33.167667,32.996114,-0.52
MATVEC,uint32_t,1,2048,64,8,75.496000,74.285168,-1.60
MATVEC,uint32_t,1,2048,64,16,68.122000,67.952752,-0.25
MATVEC,uint32_t,1,2048,64,32,64.547333,64.351579,-0.30
MATVEC,uint32_t,1,2048,64,64,62.830000,62.617865,-0.34
MATVEC,uint32_t,1,2048,128,8,149.139667,146.880332,-1.51
MATVEC,uint32_t,1,2048,128,16,134.566667,134.247097,-0.24
MATVEC,uint32_t,1,2048,128,32,128.178667,127.062509,-0.87
MATVEC,uint32_t,1,2048,128,64,124.154667,123.603794,-0.44
MATVEC,uint32_t,1,2048,128,128,122.141333,121.871026,-0.22
MATVEC,uint32_t,1,2048,256,8,296.368000,292.070658,-1.45
MATVEC,uint32_t,1,2048,256,16,267.397667,266.835788,-0.21
MATVEC,uint32_t,1,2048,256,32,255.751667,252.484370,-1.28
MATVEC,uint32_t,1,2048,256,64,246.254667,245.575652,-0.28
MATVEC,uint32_t,1,2048,256,128,242.570667,242.118122,-0.19
MATVEC,uint32_t,1,2048,256,256,240.752667,240.564269,-0.08
MATVEC,uint32_t,1,2048,512,8,591.141000,582.451312,-1.47
MATVEC,uint32_t,1,2048,512,16,532.954667,532.013168,-0.18
MATVEC,uint32_t,1,2048,512,32,508.229333,503.328091,-0.96
MATVEC,uint32_t,1,2048,512,64,490.954667,489.519369,-0.29
MATVEC,uint32_t,1,2048,512,128,483.346667,482.601065,-0.15
MATVEC,uint32_t,1,2048,512,256,480.449000,479.508667,-0.20
MATVEC,uint32_t,1,2048,1024,8,1180.917667,1163.212620,-1.50
MATVEC,uint32_t,1,2048,1024,16,1064.099333,1062.367929,-0.16
