operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,32,128,128,16,303.013000,285.502555,-5.78
MATMUL,uint32_t,1,32,128,128,8,325.706667,305.084653,-6.33
MATMUL,uint32_t,1,32,128,128,32,293.281667,275.887963,-5.93
MATMUL,uint32_t,1,32,128,128,128,286.340333,269.381010,-5.92
MATMUL,uint32_t,1,32,128,128,64,288.791667,271.505152,-5.99
MATMUL,uint32_t,1,32,128,128,4,380.587000,357.199378,-6.15
MATMUL,uint32_t,1,32,128,256,8,651.196000,610.090221,-6.31
MATMUL,uint32_t,1,32,128,256,4,760.885667,714.319670,-6.12
MATMUL,uint32_t,1,32,128,256,32,586.425333,551.696841,-5.92
MATMUL,uint32_t,1,32,128,256,64,577.512333,542.931218,-5.99
MATMUL,uint32_t,1,32,128,256,128,572.674000,538.682934,-5.94
MATMUL,uint32_t,1,32,128,256,16,606.050667,570.926025,-5.80
MATMUL,uint32_t,1,32,256,16,8,81.314333,76.194011,-6.30
MATMUL,uint32_t,1,32,256,16,4,94.969667,89.137316,-6.14
MATMUL,uint32_t,1,32,256,16,16,75.698667,71.340580,-5.76
MATMUL,uint32_t,1,32,256,32,4,189.792000,178.195547,-6.11
MATMUL,uint32_t,1,32,256,32,8,162.529333,152.308937,-6.29
MATMUL,uint32_t,1,32,256,32,16,151.337333,142.602075,-5.77
MATMUL,uint32_t,1,32,256,32,32,146.499000,137.837851,-5.91
MATMUL,uint32_t,1,32,128,512,8,1302.181667,1220.101357,-6.30
MATMUL,uint32_t,1,32,128,512,4,1524.667667,1428.560256,-6.30
MATMUL,uint32_t,1,32,256,64,4,379.325667,356.312009,-6.07
MATMUL,uint32_t,1,32,128,512,16,1211.739333,1141.772964,-5.77
MATMUL,uint32_t,1,32,256,64,8,325.104667,304.538788,-6.33
MATMUL,uint32_t,1,32,128,512,32,1172.703667,1103.314596,-5.92
MATMUL,uint32_t,1,32,256,64,16,302.649333,285.125065,-5.79
MATMUL,uint32_t,1,32,128,512,128,1145.318333,1077.286784,-5.94
MATMUL,uint32_t,1,32,128,512,64,1155.010333,1085.783350,-5.99
MATMUL,uint32_t,1,32,256,64,32,292.932667,275.596617,-5.92
MATMUL,uint32_t,1,32,256,64,64,288.530333,271.256713,-5.99
MATMUL,uint32_t,1,32,256,128,32,585.933000,551.114148,-5.94
MATMUL,uint32_t,1,32,256,128,16,605.098000,570.171044,-5.77
MATMUL,uint32_t,1,32,256,128,8,650.043333,608.998491,-6.31
MATMUL,uint32_t,1,32,256,128,64,577.029000,542.434340,-6.00
MATMUL,uint32_t,1,32,256,128,128,572.176000,538.228763,-5.93
MATMUL,uint32_t,1,32,256,128,4,759.061000,712.544932,-6.13
MATMUL,uint32_t,1,32,256,256,8,1299.887333,1217.917897,-6.31
MATMUL,uint32_t,1,32,256,256,4,1518.115667,1425.010779,-6.13
MATMUL,uint32_t,1,32,256,256,32,1171.319333,1102.149211,-5.91
MATMUL,uint32_t,1,32,256,256,64,1153.979667,1084.789595,-6.00
MATMUL,uint32_t,1,32,256,256,256,1140.040000,1072.606656,-5.91
MATMUL,uint32_t,1,32,256,256,16,1210.039000,1140.263003,-5.77
MATMUL,uint32_t,1,32,256,256,128,1144.170333,1076.378441,-5.92
MATMUL,uint32_t,1,32,512,16,4,189.970333,177.973705,-6.32
MATMUL,uint32_t,1,32,512,16,8,162.440000,152.172470,-6.32
MATMUL,uint32_t,1,32,512,16,16,151.221333,142.507702,-5.76
MATMUL,uint32_t,1,32,512,32,4,379.595333,355.868324,-6.25
MATMUL,uint32_t,1,32,512,32,8,324.765000,304.265856,-6.31
MATMUL,uint32_t,1,32,512,32,16,302.352000,284.936320,-5.76
MATMUL,uint32_t,1,32,256,512,4,3035.394667,2849.942473,-6.11
MATMUL,uint32_t,1,32,512,32,32,292.763667,275.450944,-5.91
MATMUL,uint32_t,1,32,256,512,16,2419.914667,2280.446921,-5.76
MATMUL,uint32_t,1,32,256,512,256,2279.530333,2145.134226,-5.90
MATMUL,uint32_t,1,32,256,512,128,2288.527333,2152.677796,-5.94
MATMUL,uint32_t,1,32,256,512,64,2307.866667,2169.500105,-6.00
MATMUL,uint32_t,1,32,256,512,32,2343.078333,2204.219337,-5.93
MATMUL,uint32_t,1,32,256,512,8,2600.208000,2435.756708,-6.32
MATMUL,uint32_t,1,32,512,64,4,757.887333,711.657563,-6.10
MATMUL,uint32_t,1,32,512,64,8,649.301667,608.452626,-6.29
MATMUL,uint32_t,1,32,512,64,32,585.687667,550.822802,-5.95
MATMUL,uint32_t,1,32,512,64,16,604.616333,569.793554,-5.76
MATMUL,uint32_t,1,32,512,64,64,576.776000,542.185901,-6.00
MATMUL,uint32_t,1,32,512,128,16,1209.432333,1139.508022,-5.78
MATMUL,uint32_t,1,32,512,128,8,1298.807000,1216.826166,-6.31
MATMUL,uint32_t,1,32,512,128,4,1515.764333,1423.236041,-6.10
MATMUL,uint32_t,1,32,512,128,32,1171.333667,1101.566518,-5.96
MATMUL,uint32_t,1,32,512,128,64,1153.483667,1084.292717,-6.00
MATMUL,uint32_t,1,32,512,128,128,1143.731000,1075.924269,-5.93
MATMUL,uint32_t,1,32,512,256,8,2597.793667,2433.573248,-6.32
MATMUL,uint32_t,1,32,512,256,4,3032.034333,2846.392996,-6.12
MATMUL,uint32_t,1,32,512,256,16,2418.877000,2278.936960,-5.79
MATMUL,uint32_t,1,32,512,256,32,2341.329333,2203.053952,-5.91
MATMUL,uint32_t,1,32,512,256,64,2306.892667,2168.506349,-6.00
MATMUL,uint32_t,1,32,512,256,128,2287.238333,2151.769453,-5.92
MATMUL,uint32_t,1,32,512,256,256,2278.397333,2144.267337,-5.89
MATMUL,uint32_t,1,64,16,16,4,12.359333,11.640393,-5.82
MATMUL,uint32_t,1,64,16,16,8,10.492333,9.862400,-6.00
MATMUL,uint32_t,1,64,16,16,16,9.724000,9.176795,-5.63
MATMUL,uint32_t,1,64,16,32,4,24.669333,23.188626,-6.00
MATMUL,uint32_t,1,64,16,32,8,20.926000,19.632640,-6.18
MATMUL,uint32_t,1,64,16,32,16,19.368667,18.261430,-5.72
MATMUL,uint32_t,1,64,16,64,4,49.278333,46.285092,-6.07
MATMUL,uint32_t,1,64,16,64,8,41.771667,39.173120,-6.22
MATMUL,uint32_t,1,64,16,64,16,38.660333,36.430701,-5.77
MATMUL,uint32_t,1,64,16,128,4,98.487000,92.478025,-6.10
MATMUL,uint32_t,1,64,16,128,8,83.438000,78.254080,-6.21
MATMUL,uint32_t,1,64,16,128,16,77.216000,72.769243,-5.76
MATMUL,uint32_t,1,64,16,256,4,196.795000,184.863890,-6.06
MATMUL,uint32_t,1,64,16,256,8,166.822333,156.416000,-6.24
MATMUL,uint32_t,1,64,16,256,16,154.342667,145.446326,-5.76
MATMUL,uint32_t,1,64,16,512,4,393.680333,369.635620,-6.11
MATMUL,uint32_t,1,64,16,512,8,333.348000,312.739840,-6.18
MATMUL,uint32_t,1,64,16,512,16,308.583333,290.800493,-5.76
MATMUL,uint32_t,1,64,32,16,4,24.163667,22.744941,-5.87
MATMUL,uint32_t,1,64,32,16,8,20.660667,19.359707,-6.30
MATMUL,uint32_t,1,64,32,16,16,19.163667,18.072685,-5.69
MATMUL,uint32_t,1,64,32,32,4,48.220667,45.397723,-5.85
MATMUL,uint32_t,1,64,32,32,8,41.202000,38.627254,-6.25
MATMUL,uint32_t,1,64,32,32,16,38.252667,36.053211,-5.75
MATMUL,uint32_t,1,64,32,32,32,36.960333,34.786779,-5.88
MATMUL,uint32_t,1,32,512,512,4,6065.879333,5692.706907,-6.15
MATMUL,uint32_t,1,64,32,64,4,96.404333,90.703286,-5.91
MATMUL,uint32_t,1,64,32,64,8,82.318000,77.162349,-6.26
MATMUL,uint32_t,1,64,32,64,16,76.441333,72.014262,-5.79
MATMUL,uint32_t,1,64,32,64,32,73.822333,69.481398,-5.88
MATMUL,uint32_t,1,32,512,512,64,4613.617333,4336.933613,-6.00
MATMUL,uint32_t,1,64,32,128,8,164.481667,154.232539,-6.23
MATMUL,uint32_t,1,64,32,128,4,192.611000,181.314413,-5.86
MATMUL,uint32_t,1,32,512,512,32,4683.903000,4406.028818,-5.93
MATMUL,uint32_t,1,32,512,512,8,5195.469000,4867.067410,-6.32
MATMUL,uint32_t,1,32,512,512,128,4574.570333,4303.459821,-5.93
MATMUL,uint32_t,1,32,512,512,256,4556.988333,4288.455588,-5.89
MATMUL,uint32_t,1,32,512,512,16,4836.995333,4557.794834,-5.77
MATMUL,uint32_t,1,64,32,128,32,147.556000,138.870637,-5.89
MATMUL,uint32_t,1,64,32,128,16,152.782000,143.936365,-5.79
MATMUL,uint32_t,1,64,32,256,8,328.888000,308.372918,-6.24
MATMUL,uint32_t,1,64,32,256,16,305.442000,287.780571,-5.78
MATMUL,uint32_t,1,64,32,256,4,384.787333,362.536667,-5.78
MATMUL,uint32_t,1,64,32,256,32,295.113333,277.649115,-5.92
MATMUL,uint32_t,1,64,64,16,8,40.929000,38.354322,-6.29
MATMUL,uint32_t,1,64,64,16,4,47.909333,44.954038,-6.17
MATMUL,uint32_t,1,64,64,16,16,38.063333,35.864466,-5.78
MATMUL,uint32_t,1,64,64,32,4,95.714667,89.815917,-6.16
MATMUL,uint32_t,1,64,64,32,16,76.011333,71.636772,-5.76
MATMUL,uint32_t,1,64,64,32,8,81.777000,76.616484,-6.31
MATMUL,uint32_t,1,64,64,32,32,73.515667,69.190052,-5.88
MATMUL,uint32_t,1,64,32,512,32,589.962000,555.206070,-5.89
