data_type,thread,iteration,buffer_size,latency,correct
uint32_t,16,1024,64,18.214,True
uint32_t,16,512,256,33.672,True
uint32_t,16,2048,16,16.834333,True
uint32_t,16,2048,32,23.013667,True
uint32_t,16,1024,128,34.187333,True
uint32_t,16,2048,256,NA,False
uint32_t,16,4096,8,27.169667,True
uint32_t,16,2048,64,36.299,True
uint32_t,16,4096,16,33.563667,True
uint32_t,16,4096,128,NA,False
uint32_t,16,1024,256,67.230333,True
uint32_t,16,4096,256,NA,False
uint32_t,16,4096,32,45.934667,True
uint32_t,16,8192,8,54.251333,True
uint32_t,16,8192,64,NA,False
uint32_t,16,8192,256,NA,False
uint32_t,16,2048,128,68.286333,True
uint32_t,16,8192,128,NA,False
uint32_t,16,8192,16,67.044667,True
uint32_t,16,16384,32,NA,False
uint32_t,16,4096,64,72.409333,True
uint64_t,1,256,8,0.89,True
uint32_t,16,16384,128,NA,False
uint32_t,16,16384,64,NA,False
uint64_t,1,256,16,1.447667,True
uint32_t,16,16384,256,NA,False
uint64_t,1,256,32,2.577,True
uint64_t,1,256,64,4.842333,True
uint64_t,1,512,8,1.715,True
uint64_t,1,256,128,9.354667,True
uint32_t,16,8192,32,91.783,True
uint64_t,1,256,256,18.442333,True
uint64_t,1,512,16,2.858333,True
uint64_t,1,512,32,5.095,True
uint32_t,16,16384,8,108.439667,True
uint64_t,1,512,64,9.638333,True
uint64_t,1,1024,8,3.383667,True
uint64_t,1,1024,16,5.660667,True
uint64_t,1,512,128,18.658333,True
uint64_t,1,1024,32,10.128667,True
uint64_t,1,512,256,36.835,True
uint64_t,1,1024,64,19.226333,True
uint64_t,1,2048,8,6.723,True
uint64_t,1,2048,16,11.335333,True
uint64_t,1,1024,128,37.253667,True
uint64_t,1,2048,32,20.206667,True
uint32_t,16,16384,16,134.066,True
uint64_t,1,2048,64,38.396333,True
uint64_t,1,1024,256,73.59,True
uint64_t,1,4096,8,13.406667,True
uint64_t,1,4096,16,22.476,True
uint64_t,1,2048,128,74.444,True
uint64_t,1,4096,32,40.363333,True
uint64_t,1,8192,8,26.756,True
uint64_t,1,4096,64,76.728667,True
uint64_t,1,8192,16,44.896,True
uint64_t,1,2048,256,147.159667,True
uint64_t,1,8192,32,80.629333,True
uint64_t,1,4096,128,148.822333,True
uint64_t,1,16384,8,53.439667,True
uint64_t,1,8192,64,153.421667,True
uint64_t,1,16384,16,89.743667,True
uint64_t,2,256,8,0.895,True
uint64_t,1,16384,256,NA,False
uint64_t,1,4096,256,294.114,True
uint64_t,2,256,16,1.463667,True
uint64_t,2,256,32,2.575333,True
uint64_t,1,16384,32,161.253333,True
uint64_t,2,256,64,4.899,True
uint64_t,2,256,128,9.373333,True
uint64_t,2,512,8,1.834667,True
uint64_t,1,8192,128,297.661,True
uint64_t,2,512,16,2.877333,True
uint64_t,2,256,256,18.467667,True
uint64_t,2,512,32,5.097,True
uint64_t,2,512,64,9.667,True
uint64_t,2,1024,8,3.412667,True
uint64_t,2,512,128,18.664667,True
uint64_t,2,1024,16,5.675667,True
uint64_t,2,1024,32,10.136333,True
uint64_t,2,512,256,36.841,True
uint64_t,2,1024,64,19.241333,True
uint64_t,1,16384,64,306.859667,True
uint64_t,2,2048,8,6.73,True
uint64_t,2,1024,128,37.261333,True
uint64_t,2,2048,16,11.280667,True
uint64_t,2,2048,32,20.211333,True
uint64_t,2,4096,8,13.413667,True
uint64_t,2,1024,256,73.618333,True
uint64_t,2,2048,64,38.545,True
uint64_t,2,4096,16,22.484667,True
uint64_t,2,2048,128,74.459667,True
uint64_t,2,4096,32,40.359,True
uint64_t,1,8192,256,588.389,True
uint64_t,2,8192,8,26.745667,True
uint64_t,2,4096,64,76.812333,True
uint64_t,2,2048,256,147.195667,True
uint64_t,2,8192,16,44.897667,True
uint64_t,1,16384,128,595.151667,True
uint64_t,2,8192,256,NA,False
uint64_t,2,4096,128,148.846,True
uint64_t,2,8192,32,80.656667,True
uint64_t,2,16384,8,53.444333,True
uint64_t,2,16384,128,NA,False
uint64_t,4,256,8,0.952333,True
uint64_t,2,16384,16,89.771333,True
uint64_t,2,8192,64,153.512333,True
uint64_t,4,256,16,1.484333,True
uint64_t,2,16384,256,NA,False
uint64_t,4,256,32,2.59,True
uint64_t,4,256,64,4.873333,True
uint64_t,4,512,8,1.851333,True
uint64_t,4,256,128,9.393667,True
uint64_t,4,512,16,2.921,True
uint64_t,2,4096,256,294.246667,True
uint64_t,2,16384,32,161.350333,True
uint64_t,4,256,256,18.488333,True
uint64_t,4,512,32,5.111667,True
uint64_t,4,512,64,9.659,True
uint64_t,4,1024,8,3.715,True
uint64_t,4,1024,16,5.709667,True
uint64_t,4,512,128,18.690667,True
uint64_t,2,8192,128,297.617667,True
uint64_t,4,1024,32,10.154,True
uint64_t,4,512,256,36.884667,True
uint64_t,4,2048,8,7.260333,True
uint64_t,4,1024,64,19.262667,True
uint64_t,4,2048,16,11.391,True
uint64_t,4,1024,128,37.3,True
uint64_t,4,2048,32,20.228,True
uint64_t,2,16384,64,306.986333,True
uint64_t,4,4096,8,14.427,True
uint64_t,4,2048,64,38.439,True
uint64_t,4,4096,16,22.521333,True
uint64_t,4,1024,256,73.677,True
uint64_t,4,4096,32,40.394333,True
uint64_t,4,4096,256,NA,False
uint64_t,4,2048,128,74.474667,True
uint64_t,4,8192,8,28.825333,True
uint64_t,4,8192,16,45.049,True
uint64_t,4,8192,128,NA,False
uint64_t,4,4096,64,76.841333,True
uint64_t,4,8192,256,NA,False
uint64_t,4,2048,256,147.212,True
